InstructionDecimal,CyclesTaken,ClockStop,NextBlipCycles
1828,3,0,2
1829,3,0,2
1830,3,0,2
1832,943,0,0
1833,3,0,2
1834,3,0,2
1836,943,0,0
1837,3,0,2
1838,3,0,2
1840,3,0,2
1841,3,0,2
1842,3,0,2
1844,3,0,2
1845,3,0,2
1846,3,0,2
1848,3,0,2
1849,3,0,2
1850,3,0,2
1852,3,0,2
1853,3,0,2
1854,3,0,2
1856,3,0,2
1857,3,0,2
1858,3,0,2
1860,3,0,2
1861,3,0,2
1862,3,0,2
1864,938,0,0
1865,3,0,2
1866,3,0,2
1868,943,0,0
1869,3,0,2
1870,3,0,2
1872,3,0,0
1873,3,0,2
1874,3,0,2
1876,3,0,2
1877,3,0,2
1878,3,0,2
1880,3,0,2
1881,3,0,2
1882,3,0,2
1884,3,0,2
1885,3,0,2
1886,3,0,2
1888,3,0,2
1889,3,0,2
1890,3,0,2
1892,3,0,2
1893,3,0,2
1894,3,0,2
1896,943,0,0
1897,3,0,2
1898,3,0,2
1900,942,0,0
1901,3,0,2
1902,3,0,2
1904,3,0,0
1905,3,0,2
1906,3,0,2
1908,3,0,2
1909,3,0,2
1910,3,0,2
1912,3,0,2
1913,3,0,2
1914,3,0,2
1916,3,0,2
1917,3,0,2
1918,3,0,2
1920,3,0,2
1921,3,0,2
1922,3,0,2
1924,3,0,2
1925,3,0,2
1926,3,0,2
1928,941,0,0
1929,3,0,2
1930,3,0,2
1932,943,0,0
1933,3,0,2
1934,3,0,2
1936,3,0,2
1937,3,0,2
1938,3,0,2
1940,3,0,2
1941,3,0,2
1942,3,0,2
1944,3,0,2
1945,3,0,2
1946,3,0,2
1948,3,0,2
1949,3,0,2
1950,3,0,2
1952,3,0,2
1953,3,0,2
1954,3,0,2
1956,3,0,2
1957,3,0,2
1958,3,0,2
1960,943,0,0
1961,3,0,2
1962,3,0,2
1964,939,0,0
1965,3,0,2
1966,3,0,2
1968,3,0,2
1969,3,0,2
1970,3,0,2
1972,3,0,2
1973,3,0,2
1974,3,0,2
1976,3,0,2
1977,3,0,2
1978,3,0,2
1980,3,0,2
1981,3,0,2
1982,3,0,2
1984,3,0,2
1985,3,0,2
1986,3,0,2
1988,3,0,2
1989,3,0,2
1990,3,0,2
1992,938,0,0
1993,3,0,2
1994,3,0,2
1996,943,0,0
1997,3,0,2
1998,3,0,2
2000,3,0,0
2001,3,0,2
2002,3,0,2
2004,3,0,2
2005,3,0,2
2006,3,0,2
2008,3,0,2
2009,3,0,2
2010,3,0,2
2012,3,0,2
2013,3,0,2
2014,3,0,2
2016,3,0,2
2017,3,0,2
2018,3,0,2
2020,3,0,2
2021,3,0,2
2022,3,0,2
2024,944,0,0
2025,3,0,2
2026,3,0,2
2028,941,0,0
2029,3,0,2
2030,3,0,2
2032,3,0,0
2033,3,0,2
2034,3,0,2
2036,3,0,2
2037,3,0,2
2038,3,0,2
2040,3,0,2
2041,3,0,2
2042,3,0,2
2044,3,0,2
2045,3,0,2
2046,3,0,2
2048,3,0,2
2049,945,0,0
2050,944,0,0
2052,3,0,2
2053,944,0,0
2054,939,0,0
2056,937,0,0
2057,938,0,0
2058,941,0,0
2060,943,0,0
2061,943,0,0
2062,942,0,0
2064,3,0,2
2065,945,0,0
2066,943,0,0
2068,3,0,2
2069,939,0,0
2070,942,0,0
2072,3,0,2
2073,939,0,0
2074,942,0,0
2076,3,0,2
2077,941,0,0
2078,941,0,0
2080,3,0,2
2081,939,0,0
2082,942,0,0
2084,3,0,2
2085,940,0,0
2086,945,0,0
2088,940,0,0
2089,943,0,0
2090,943,0,0
2092,938,0,0
2093,938,0,0
2094,938,0,0
2096,3,0,2
2097,941,0,0
2098,942,0,0
2100,3,0,2
2101,938,0,0
2102,945,0,0
2104,3,0,2
2105,943,0,0
2106,942,0,0
2108,3,0,2
2109,943,0,0
2110,938,0,0
2112,3,0,2
2113,938,0,0
2114,940,0,0
2116,3,0,2
2117,941,0,0
2118,940,0,0
2120,945,0,0
2121,940,0,0
2122,943,0,0
2124,938,0,0
2125,940,0,0
2126,945,0,0
2128,3,0,0
2129,939,0,0
2130,937,0,0
2132,3,0,2
2133,943,0,0
2134,939,0,0
2136,3,0,2
2137,941,0,0
2138,945,0,0
2140,3,0,2
2141,941,0,0
2142,943,0,0
2144,3,0,2
2145,939,0,0
2146,941,0,0
2148,3,0,2
2149,944,0,0
2150,938,0,0
2152,941,0,0
2153,940,0,0
2154,939,0,0
2156,943,0,0
2157,938,0,0
2158,942,0,0
2160,3,0,0
2161,945,0,0
2162,944,0,0
2164,3,0,2
